Predicted: 648.4972802329373, Target: [868.]
Predicted: 219.27697971993933, Target: [205.]
Predicted: 149.56727333818992, Target: [250.]
Predicted: 569.1444231004996, Target: [565.]
Predicted: 671.6773593282758, Target: [790.]
Predicted: 653.0792357082727, Target: [460.]
Predicted: 548.4470218110264, Target: [490.]
Predicted: 504.706846790629, Target: [430.]
Predicted: 512.5787859944605, Target: [330.]
Predicted: 836.1653072701563, Target: [1200.]
Predicted: 483.22435499735013, Target: [330.]
Predicted: 532.5472236429846, Target: [280.]
Predicted: 312.74763590707886, Target: [320.]
Predicted: 630.9449986116659, Target: [508.]
Predicted: 40.058033382065304, Target: [172.]
Predicted: 469.01750447487166, Target: [650.]
Predicted: 577.3550929965655, Target: [375.]
Predicted: 479.6330827462341, Target: [430.]
Predicted: 421.36569811876393, Target: [480.]
Predicted: 746.0305624177176, Target: [740.]
Predicted: 323.45287919152696, Target: [295.]
Predicted: 269.0160829171109, Target: [308.]
Predicted: 578.0807674813955, Target: [520.]
Predicted: 940.3879367768618, Target: [1300.]
Predicted: 401.8559464668883, Target: [225.]
Predicted: 379.24152100481433, Target: [455.]
Predicted: 628.2197810732896, Target: [490.]
Predicted: 619.9092856133605, Target: [550.]
Predicted: 420.7836480191886, Target: [420.]
Predicted: 412.6333881116543, Target: [330.]
Predicted: 773.5445275473638, Target: [690.]
Predicted: 276.35092135863636, Target: [185.]
Predicted: 325.04005233628067, Target: [265.]
Predicted: 263.6132270645664, Target: [168.]
Predicted: 276.26046519508157, Target: [279.]
Predicted: 130.09337913537584, Target: [205.]
Predicted: 209.4867036975757, Target: [253.]
Predicted: 349.5897727433188, Target: [220.]
Predicted: 955.4609210765989, Target: [1450.]
Predicted: 461.77790839047407, Target: [400.]
Predicted: 637.6626782628575, Target: [560.]
Predicted: 648.9899846089364, Target: [620.]
Predicted: 435.6759669628642, Target: [410.]
Predicted: 246.43814596027676, Target: [245.]
Predicted: 690.335075913661, Target: [680.]
Predicted: 715.789749983747, Target: [780.]
Predicted: 216.2901140952987, Target: [195.]
Predicted: 669.4840763396921, Target: [620.]
Predicted: 623.0349834946161, Target: [445.]
Predicted: 252.63776755421958, Target: [170.]
Predicted: 1068.616667820995, Target: [1200.]
Predicted: 555.7131471581215, Target: [485.]
Predicted: 412.43719681449477, Target: [360.]
Predicted: 303.7041106515371, Target: [359.]
Predicted: 246.60884879096136, Target: [160.]
Predicted: 235.92086974788037, Target: [248.]
Predicted: 381.0750635089379, Target: [315.]
Predicted: 471.0999728616914, Target: [450.]
Predicted: 351.0454827683208, Target: [310.]
Predicted: 541.7704442350878, Target: [450.]
Predicted: 183.3533306402561, Target: [170.]
Predicted: 73.79082437365264, Target: [172.]
Predicted: 543.2999305960255, Target: [390.]
Predicted: 598.0765315458069, Target: [460.]
Predicted: 263.24412181714274, Target: [320.]
Predicted: 574.8452843856865, Target: [315.]
Predicted: 582.6812106961859, Target: [450.]
Predicted: 462.8731956224493, Target: [315.]
Predicted: 182.4461931966714, Target: [280.]
Predicted: 293.73949524248235, Target: [318.]
Predicted: 1209.801931201185, Target: [1580.]
Predicted: 750.2843446587195, Target: [740.]
Predicted: 632.0856175690323, Target: [785.]
