Predicted: 614.7916296938732, Target: [460.]
Predicted: 463.27188341417184, Target: [490.]
Predicted: 521.0881664228793, Target: [430.]
Predicted: 532.6344582604563, Target: [330.]
Predicted: 957.6907759522508, Target: [1200.]
Predicted: 458.22047064353865, Target: [330.]
Predicted: 448.498076222044, Target: [280.]
Predicted: 329.05094009758204, Target: [320.]
Predicted: 611.0700770827594, Target: [508.]
Predicted: -71.51045353546544, Target: [172.]
Predicted: 456.2499930831152, Target: [650.]
Predicted: 586.4716620433651, Target: [375.]
Predicted: 522.7263682416798, Target: [430.]
Predicted: 482.123319111177, Target: [480.]
Predicted: 871.3622801142749, Target: [740.]
Predicted: 264.25039659022116, Target: [295.]
Predicted: 184.5217405864978, Target: [308.]
Predicted: 532.5821058574054, Target: [520.]
Predicted: 986.8904223899756, Target: [1300.]
Predicted: 418.2183654886844, Target: [225.]
Predicted: 419.77037937450075, Target: [455.]
Predicted: 631.1032992286205, Target: [490.]
Predicted: 654.643070158819, Target: [550.]
Predicted: 438.2770253409901, Target: [420.]
Predicted: 442.40868952782523, Target: [330.]
Predicted: 728.7719566616571, Target: [690.]
Predicted: 194.99030483002787, Target: [185.]
Predicted: 338.0289436063215, Target: [265.]
Predicted: 195.10485365742989, Target: [168.]
Predicted: 186.8930497679678, Target: [279.]
Predicted: 105.02727805055883, Target: [205.]
Predicted: 235.44789583262087, Target: [253.]
Predicted: 283.5811048970327, Target: [220.]
Predicted: 1085.2688239419465, Target: [1450.]
Predicted: 427.6148870713495, Target: [400.]
Predicted: 592.7135065262629, Target: [560.]
Predicted: 701.2465458060108, Target: [620.]
Predicted: 337.07595364596125, Target: [410.]
Predicted: 182.446336866202, Target: [245.]
Predicted: 658.0437835588216, Target: [680.]
Predicted: 785.9425305517984, Target: [780.]
Predicted: 114.88980584712652, Target: [195.]
Predicted: 617.1641464976226, Target: [620.]
Predicted: 542.0158839645333, Target: [445.]
Predicted: 171.45535113322342, Target: [170.]
Predicted: 1189.7782451762798, Target: [1200.]
Predicted: 569.2175968960468, Target: [485.]
Predicted: 362.9762206672749, Target: [360.]
Predicted: 222.03451410060313, Target: [359.]
Predicted: 135.6895888468432, Target: [160.]
Predicted: 264.19396549053806, Target: [248.]
Predicted: 427.84587408817947, Target: [315.]
Predicted: 465.58419251180055, Target: [450.]
Predicted: 260.6583463306103, Target: [310.]
Predicted: 520.3098871650684, Target: [450.]
Predicted: 112.28141820019636, Target: [170.]
Predicted: -28.65089615046213, Target: [172.]
Predicted: 491.74423487599745, Target: [390.]
Predicted: 611.5774613216452, Target: [460.]
Predicted: 179.1477277809778, Target: [320.]
Predicted: 589.947894253465, Target: [315.]
Predicted: 547.8394169221563, Target: [450.]
Predicted: 398.9597315815205, Target: [315.]
Predicted: 178.17269287261968, Target: [280.]
Predicted: 320.2060193494765, Target: [318.]
Predicted: 1369.2466486184308, Target: [1580.]
Predicted: 742.7736840695932, Target: [740.]
Predicted: 667.6118147576484, Target: [785.]
Predicted: 948.1940282334522, Target: [950.]
Predicted: 468.6582520952288, Target: [330.]
Predicted: 240.59198287694664, Target: [252.]
Predicted: 486.1647960721132, Target: [412.]
Predicted: 468.9684962545788, Target: [335.]
Predicted: 708.7553286196144, Target: [750.]
Predicted: 439.8894218807168, Target: [408.]
Predicted: 605.9338821618268, Target: [680.]
Predicted: 584.4631672174812, Target: [450.]
Predicted: 1755.6410695264917, Target: [2500.]
Predicted: 687.9078221951687, Target: [620.]
Predicted: 644.7712515742872, Target: [749.]
Predicted: 262.02994492785444, Target: [170.]
Predicted: 457.93494258875285, Target: [595.]
Predicted: 253.13607597971242, Target: [228.]
Predicted: 355.06593078212825, Target: [395.]
Predicted: 238.90169948115926, Target: [220.]
Predicted: 696.9422902477013, Target: [780.]
Predicted: 1068.3825741459295, Target: [740.]
Predicted: 271.19188943424217, Target: [265.]
Predicted: 241.0766294807229, Target: [325.]
Predicted: 1497.9998922781117, Target: [1800.]
Predicted: 98.4827733337172, Target: [279.]
Predicted: 212.87459199611715, Target: [205.]
Predicted: 508.07364450447074, Target: [355.]
Predicted: 448.20514410975363, Target: [588.]
Predicted: 452.3705575763538, Target: [430.]
Predicted: 518.9862104590601, Target: [484.]
Predicted: 951.7215548705628, Target: [498.]
Predicted: 513.7392378598588, Target: [355.]
Predicted: 537.0241097652354, Target: [470.]
Predicted: 260.37044061929026, Target: [430.]
Predicted: 1195.1769572828198, Target: [850.]
Predicted: 487.65282861801643, Target: [358.]
Predicted: 460.4529234005937, Target: [630.]
Predicted: 578.5385800404285, Target: [700.]
Predicted: 657.6344706950937, Target: [510.]
Predicted: 836.8144867015762, Target: [1200.]
Predicted: 260.426820540227, Target: [215.]
Predicted: 909.4446151958255, Target: [1268.]
Predicted: 1330.531429439515, Target: [1390.]
Predicted: 114.85055475552093, Target: [260.]
Predicted: 512.5360353623641, Target: [500.]
Predicted: 671.0502312800025, Target: [650.]
Predicted: 424.1124176086995, Target: [382.]
Predicted: 87.50946628310385, Target: [178.]
Predicted: 485.27352738826335, Target: [380.]
Predicted: 181.51264665821384, Target: [190.]
Predicted: 435.79890777108335, Target: [466.]
Predicted: 474.6484026839653, Target: [540.]
Predicted: 320.3293099649122, Target: [340.]
Predicted: 512.215315238958, Target: [450.]
Predicted: 725.7490669783036, Target: [740.]
Predicted: 724.3976177182858, Target: [510.]
Predicted: 497.08605234423817, Target: [285.]
Predicted: 431.3606174379454, Target: [390.]
Predicted: 151.94387413812785, Target: [180.]
Predicted: 382.1875350467267, Target: [345.]
Predicted: 291.2099015296549, Target: [295.]
Predicted: 677.4605947742638, Target: [535.]
Predicted: 291.415655137146, Target: [300.]
Predicted: 271.97108993963167, Target: [222.]
Predicted: 881.4052944953723, Target: [930.]
Predicted: 532.5371502259438, Target: [290.]
Predicted: 513.9869725406681, Target: [390.]
Predicted: 701.639888371035, Target: [660.]
Predicted: 612.1706463915449, Target: [388.]
Predicted: 502.34430729084943, Target: [500.]
Predicted: 655.8873049657668, Target: [660.]
Predicted: 549.5630533077549, Target: [330.]
Predicted: 664.4010625610608, Target: [720.]
Predicted: -135.758579909834, Target: [133.]
Predicted: 1129.7217560053423, Target: [1100.]
Predicted: 925.4685327992047, Target: [570.]
Predicted: 261.17786519438005, Target: [230.]
Predicted: 736.456325661511, Target: [465.]
Predicted: 545.0109472739813, Target: [660.]
Predicted: 294.1712694144218, Target: [266.]
Predicted: 744.5148568824516, Target: [750.]
Predicted: 357.3485381336624, Target: [280.]
Predicted: 175.49362259624587, Target: [265.]
Predicted: 695.1505342280436, Target: [680.]
Predicted: 382.9174543601547, Target: [460.]
Predicted: 997.5612524227915, Target: [1220.]
Predicted: 554.8498511802779, Target: [480.]
Predicted: 200.28093528202953, Target: [280.]
Predicted: 256.75471031348485, Target: [210.]
Predicted: 247.33129549985733, Target: [267.]
Predicted: 225.0812759617861, Target: [220.]
Predicted: 163.38519397827224, Target: [250.]
Predicted: 606.0690380978422, Target: [360.]
Predicted: 396.2812938906724, Target: [445.]
Predicted: 308.6234003794857, Target: [284.]
Predicted: -3.876157874973586, Target: [199.]
R-squared: 0.77
