Predicted: 572.4561156246414, Target: 410.0
Predicted: 1258.1355629550692, Target: 1680.0
Predicted: 316.3704160564764, Target: 180.0
Predicted: 764.8404251265436, Target: 760.0
Predicted: 620.477274290323, Target: 750.0
Predicted: 372.0276806432512, Target: 425.0
Predicted: 533.2547706229062, Target: 470.0
Predicted: 691.2341348381432, Target: 575.0
Predicted: 438.95668722943606, Target: 346.0
Predicted: 807.8316994701242, Target: 750.0
Predicted: 563.4616485509354, Target: 570.0
Predicted: 670.3446160012409, Target: 713.0
Predicted: 583.550520891983, Target: 520.0
Predicted: 466.29145900093897, Target: 395.0
Predicted: 101.46863023346884, Target: 248.0
Predicted: 464.69893552765575, Target: 330.0
Predicted: 608.7051399902771, Target: 688.0
Predicted: 162.8948632927138, Target: 290.0
Predicted: 423.4202817100221, Target: 325.0
Predicted: 578.2707770437888, Target: 490.0
Predicted: 294.4701947898286, Target: 320.0
Predicted: 611.3822758968531, Target: 436.0
Predicted: 498.79164730312993, Target: 268.0
Predicted: 614.859399997832, Target: 510.0
Predicted: 1267.6233067965509, Target: 1200.0
Predicted: 675.1633777088001, Target: 766.0
Predicted: 380.62595738905145, Target: 365.0
Predicted: 1284.4193578006145, Target: 1300.0
Predicted: 1.2371422563308556, Target: 180.0
Predicted: 355.8147900442078, Target: 275.0
Predicted: 291.79855319975377, Target: 420.0
Predicted: 354.67967302796205, Target: 460.0
Predicted: 424.5225823065938, Target: 435.0
Predicted: 751.9216051038186, Target: 660.0
Predicted: 755.4821784102987, Target: 716.0
Predicted: 649.0454198130441, Target: 498.0
Predicted: 723.7850902426128, Target: 499.0
Predicted: 638.7909875031656, Target: 510.0
Predicted: 585.640741937915, Target: 240.0
Predicted: 823.0140007409077, Target: 875.0
Predicted: 465.7034554765859, Target: 360.0
Predicted: 1269.5686218480046, Target: 1220.0
Predicted: 458.8341519866491, Target: 500.0
Predicted: 433.27564870903984, Target: 540.0
Predicted: 1189.2268426552073, Target: 940.0
Predicted: 521.3303652153548, Target: 340.0
Predicted: 23.716871187071092, Target: 186.0
Predicted: 470.8983716502303, Target: 410.0
Predicted: 334.32419630466654, Target: 270.0
Predicted: 591.8484371839459, Target: 760.0
Predicted: 485.6417289934484, Target: 328.0
Predicted: 232.10580055667197, Target: 270.0
Predicted: 322.3753271104199, Target: 318.0
Predicted: 470.8676003258429, Target: 335.0
Predicted: 479.2154202488389, Target: 465.0
Predicted: 876.5470071587947, Target: 658.0
Predicted: 817.1938689667325, Target: 570.0
Predicted: 2003.5495239999382, Target: 5800.0
Predicted: 657.8705258479578, Target: 800.0
Predicted: 408.0361094234984, Target: 335.0
Predicted: 139.52741126248748, Target: 270.0
Predicted: 346.34575555035417, Target: 255.0
Predicted: 130.8682728321677, Target: 170.0
Predicted: 786.950181314563, Target: 560.0
Predicted: 250.13432616785235, Target: 385.0
Predicted: 617.647638167176, Target: 485.0
Predicted: 592.8343050745253, Target: 478.0
Predicted: 1669.8192365204359, Target: 2700.0
Predicted: 387.072015851315, Target: 266.0
Predicted: 811.9020464516777, Target: 950.0
Predicted: 1042.8977723508985, Target: 1200.0
Predicted: 221.7579070335048, Target: 170.0
Predicted: 232.74101270190624, Target: 288.0
Predicted: 333.3772908082949, Target: 372.0
Predicted: 378.0491066861681, Target: 256.0
Predicted: 330.18669820640946, Target: 320.0
Predicted: 187.7796720511136, Target: 178.0
Predicted: 429.3057864083811, Target: 460.0
Predicted: 242.73642148322767, Target: 325.0
Predicted: 621.6982535209922, Target: 520.0
Predicted: 416.619311048785, Target: 420.0
Predicted: 414.34699726746976, Target: 350.0
Predicted: 1007.6952840555853, Target: 898.0
Predicted: 909.1658756996073, Target: 820.0
Predicted: 406.33344146333513, Target: 340.0
Predicted: 687.3907717976219, Target: 560.0
Predicted: 1064.6804790515057, Target: 1120.0
Predicted: 399.37439674276413, Target: 440.0
Predicted: 725.6398189671427, Target: 620.0
Predicted: 432.5624868408022, Target: 410.0
Predicted: 237.15985950345703, Target: 290.0
Predicted: 105.47242385663793, Target: 270.0
Predicted: 704.8080657385146, Target: 570.0
Predicted: 702.7153211928801, Target: 620.0
Predicted: 92.72320785565512, Target: 185.0
Predicted: 209.0505240287373, Target: 230.0
Predicted: 353.3852553951324, Target: 385.0
Predicted: 681.4544781834581, Target: 766.0
Predicted: 82.2081559066749, Target: 200.0
Predicted: 541.2477158439439, Target: 380.0
Predicted: 615.4284676353548, Target: 375.0
Predicted: 690.1724855577447, Target: 620.0
Predicted: 408.7049532954876, Target: 338.0
Predicted: 233.87896199464842, Target: 350.0
Predicted: 269.34268680196817, Target: 220.0
Predicted: 606.4032034555149, Target: 400.0
Predicted: 359.69720611116327, Target: 430.0
Predicted: 434.2643660993973, Target: 300.0
Predicted: 968.0106782156845, Target: 845.0
Predicted: 1062.776201775415, Target: 1200.0
Predicted: 645.4647653970642, Target: 540.0
Predicted: 510.6068794595883, Target: 550.0
Predicted: -101.67305859132642, Target: 115.0
Predicted: 855.7676874715664, Target: 1100.0
Predicted: 188.53931215436364, Target: 235.0
Predicted: 911.8747259380059, Target: 960.0
Predicted: 264.81974392482243, Target: 266.0
Predicted: 623.8490086164843, Target: 630.0
Predicted: 401.60657846284596, Target: 393.0
Predicted: 96.48458861717529, Target: 300.0
Predicted: 249.84138715410234, Target: 220.0
Predicted: 496.52550040839026, Target: 355.0
Predicted: 909.9399765450016, Target: 1010.0
Predicted: 312.47020432600686, Target: 267.0
Predicted: 216.05812081000545, Target: 235.0
Predicted: 105.2591099953687, Target: 149.0
Predicted: 649.7340105952053, Target: 538.0
Predicted: 214.59892516904756, Target: 265.0
Predicted: 376.01783671360613, Target: 300.0
Predicted: 913.5053974254533, Target: 950.0
Predicted: 618.6814747529834, Target: 498.0
Predicted: 86.89407888557344, Target: 198.0
Predicted: 816.5024686369409, Target: 880.0
Predicted: 606.714820391048, Target: 520.0
Predicted: 270.74162077606775, Target: 270.0
Predicted: 924.1790296380254, Target: 930.0
Predicted: 844.6337429249647, Target: 1420.0
Predicted: 841.3305913046738, Target: 779.0
Predicted: 226.85700287689076, Target: 280.0
Predicted: 516.658553768799, Target: 535.0
Predicted: 605.4445999671659, Target: 389.0
Predicted: 573.1040085484486, Target: 392.0
Predicted: 376.3651099493078, Target: 295.0
Predicted: 396.615759966297, Target: 320.0
Predicted: 271.62680605270157, Target: 168.0
Predicted: 1707.262736762383, Target: 2600.0
Predicted: -87.82248727819456, Target: 157.0
Predicted: 525.6398841755074, Target: 340.0
Predicted: 628.5458694457692, Target: 215.0
Predicted: 858.2180213331371, Target: 580.0
Predicted: 1373.5774870424857, Target: 1030.0
Predicted: 626.2742964918453, Target: 520.0
Predicted: 1079.5667133252257, Target: 1180.0
Predicted: 668.5478169397654, Target: 795.0
Predicted: 1475.9499414875766, Target: 1700.0
Predicted: 332.0022016138919, Target: 330.0
Predicted: 228.02334896812624, Target: 330.0
Predicted: 665.2509923612355, Target: 520.0
Predicted: 619.9037985827102, Target: 465.0
Predicted: 460.75206322236545, Target: 305.0
Predicted: 724.7703595863995, Target: 700.0
Predicted: 168.85042698203335, Target: 210.0
Predicted: 2402.3600899630774, Target: 3350.0
Predicted: 671.1488006906326, Target: 540.0
Predicted: 936.5297830061998, Target: 930.0
Predicted: 601.4249122130507, Target: 720.0
Predicted: 571.0092227778507, Target: 570.0
Predicted: 450.9465489504888, Target: 335.0
Predicted: 676.5776023505342, Target: 700.0
R-squared: 0.68

