Predicted: 552.418258440566, Target: 295.0
Predicted: 593.5858512958358, Target: 368.0
Predicted: 1184.835244539013, Target: 1500.0
Predicted: 475.62883178899125, Target: 260.0
Predicted: 1474.26882344159, Target: 1360.0
Predicted: 753.283424497744, Target: 730.0
Predicted: 623.6450558779196, Target: 500.0
Predicted: 374.7966556157645, Target: 230.0
Predicted: 1026.1965954091402, Target: 780.0
Predicted: 569.2500668556771, Target: 365.0
Predicted: 328.0521107006027, Target: 196.0
Predicted: 1805.435924310163, Target: 2700.0
Predicted: 444.6950528398916, Target: 213.0
Predicted: 659.359269483928, Target: 205.0
Predicted: 2144.788465465439, Target: 1950.0
Predicted: 845.9311383246344, Target: 800.0
Predicted: 631.3982701792147, Target: 485.0
Predicted: 533.7999868426607, Target: 260.0
Predicted: 1054.6901757905684, Target: 780.0
Predicted: 235.08038882135483, Target: 183.0
Predicted: 334.3184853641526, Target: 225.0
Predicted: 1148.8551923091802, Target: 970.0
Predicted: 377.9314794948625, Target: 305.0
Predicted: 416.50588975985255, Target: 300.0
Predicted: 388.78785238571544, Target: 205.0
Predicted: 913.4642774722705, Target: 780.0
Predicted: 506.6108903772387, Target: 310.0
Predicted: 972.2864185193961, Target: 999.0
Predicted: 1728.9962000487305, Target: 1550.0
Predicted: 526.9404833547558, Target: 390.0
Predicted: 208.28581039074385, Target: 162.0
Predicted: 1618.2732144667566, Target: 1300.0
Predicted: 480.62606501937944, Target: 298.0
Predicted: 393.9538727559473, Target: 425.0
Predicted: 105.08398500503922, Target: 135.0
Predicted: 1091.7582558018028, Target: 925.0
Predicted: 220.78258373381865, Target: 200.0
Predicted: 535.8076228331063, Target: 370.0
Predicted: 463.53032938632026, Target: 350.0
Predicted: 544.4726776051517, Target: 339.0
Predicted: 270.39392431088993, Target: 213.0
Predicted: 523.6361553023189, Target: 480.0
Predicted: 507.00029862247607, Target: 360.0
Predicted: 463.13406407626996, Target: 315.0
Predicted: 749.2140636436277, Target: 600.0
Predicted: 444.6810040029599, Target: 230.0
Predicted: 246.0105487400844, Target: 155.0
Predicted: 858.7477703147845, Target: 720.0
Predicted: 481.3892677564247, Target: 285.0
Predicted: 217.90234744348584, Target: 170.0
Predicted: 421.06522753212346, Target: 295.0
Predicted: 232.686245290272, Target: 220.0
Predicted: 545.5976519324634, Target: 325.0
Predicted: 416.69385222617376, Target: 385.0
Predicted: 638.6279146490435, Target: 410.0
Predicted: 206.51733037788867, Target: 135.0
Predicted: 381.5881107735535, Target: 210.0
Predicted: 1054.810262957274, Target: 700.0
Predicted: 499.9277458967321, Target: 206.0
Predicted: 699.1875950384665, Target: 485.0
Predicted: 838.0855454185843, Target: 750.0
Predicted: 968.7228859429043, Target: 730.0
Predicted: 687.2003988589101, Target: 730.0
Predicted: 604.4146705244931, Target: 535.0
Predicted: 487.53923962767914, Target: 310.0
Predicted: 644.2550408791975, Target: 497.0
Predicted: 353.9762166152716, Target: 220.0
Predicted: 839.9106998840007, Target: 800.0
Predicted: 507.8600041481418, Target: 430.0
Predicted: 542.3473107951975, Target: 480.0
Predicted: 260.08367207235193, Target: 153.0
Predicted: 770.1802120703363, Target: 695.0
Predicted: 441.77670953242415, Target: 320.0
Predicted: 524.9097822763176, Target: 700.0
Predicted: 611.9187058064091, Target: 275.0
Predicted: 385.94979706974124, Target: 228.0
Predicted: 579.3264719315739, Target: 440.0
Predicted: 279.9723565934402, Target: 220.0
Predicted: 1332.6530192445373, Target: 1500.0
Predicted: 365.05714900037464, Target: 220.0
Predicted: 856.0177915150231, Target: 650.0
Predicted: 990.1498352901073, Target: 900.0
Predicted: 355.01546874172595, Target: 210.0
Predicted: 436.0035552011823, Target: 175.0
Predicted: 427.0358514326582, Target: 160.0
Predicted: 501.9659342574086, Target: 245.0
Predicted: 298.06967967997116, Target: 260.0
Predicted: 906.6273275788687, Target: 308.0
Predicted: 285.49762353997164, Target: 435.0
R-squared: 0.65
[Finished in 2.2s]
