Predicted: 73.48727943322851, Target: [176.]
Predicted: 383.54485432651575, Target: [385.]
Predicted: 687.1900529625987, Target: [810.]
Predicted: 205.44263180028702, Target: [440.]
Predicted: 668.1064688134045, Target: [868.]
Predicted: 266.53874194368535, Target: [205.]
Predicted: 242.7908462678014, Target: [250.]
Predicted: 505.2594810980964, Target: [565.]
Predicted: 674.8420630233795, Target: [790.]
Predicted: 501.77121534832713, Target: [460.]
Predicted: 430.0080266630361, Target: [490.]
Predicted: 371.6007832121938, Target: [430.]
Predicted: 320.78219973882756, Target: [330.]
Predicted: 902.3197439227532, Target: [1200.]
Predicted: 435.6434958189341, Target: [330.]
Predicted: 384.13508590508576, Target: [280.]
Predicted: 281.92693044944616, Target: [320.]
Predicted: 513.8689967687108, Target: [508.]
Predicted: 127.43397846011192, Target: [172.]
Predicted: 459.89368345637484, Target: [650.]
Predicted: 496.1001225759164, Target: [375.]
Predicted: 367.03541155168597, Target: [430.]
Predicted: 366.80323978145697, Target: [480.]
Predicted: 796.2603645941315, Target: [740.]
Predicted: 254.69556916176015, Target: [295.]
Predicted: 257.60212074422606, Target: [308.]
Predicted: 534.7585844701704, Target: [520.]
Predicted: 1129.4859340978055, Target: [1300.]
Predicted: 242.83745140104082, Target: [225.]
Predicted: 453.3706384388124, Target: [455.]
Predicted: 538.0683827066832, Target: [490.]
Predicted: 720.0810217341303, Target: [550.]
Predicted: 432.5877759971449, Target: [420.]
Predicted: 374.5622522639201, Target: [330.]
Predicted: 662.3844328117102, Target: [690.]
Predicted: 242.07131211671248, Target: [185.]
Predicted: 291.4720090326522, Target: [265.]
Predicted: 196.9951370022335, Target: [168.]
Predicted: 269.6915465185639, Target: [279.]
Predicted: 203.4677060277479, Target: [205.]
Predicted: 286.7974498061949, Target: [253.]
Predicted: 261.63286701602823, Target: [220.]
Predicted: 1165.187737058244, Target: [1450.]
Predicted: 396.37776643294444, Target: [400.]
Predicted: 444.0544393284734, Target: [560.]
Predicted: 565.9638258117977, Target: [620.]
Predicted: 392.97874837737777, Target: [410.]
Predicted: 132.08660360552602, Target: [245.]
Predicted: 512.6698645975663, Target: [680.]
Predicted: 668.4137432303755, Target: [780.]
Predicted: 99.03299089639404, Target: [195.]
Predicted: 520.7649677806949, Target: [620.]
Predicted: 531.0349024865413, Target: [445.]
Predicted: 236.28438507124105, Target: [170.]
Predicted: 1662.5601301737704, Target: [1200.]
Predicted: 480.2264236881414, Target: [485.]
Predicted: 353.004418001366, Target: [360.]
Predicted: 264.43606092899364, Target: [359.]
Predicted: 192.62811703287764, Target: [160.]
Predicted: 307.4530889557844, Target: [248.]
Predicted: 374.8488995352367, Target: [315.]
Predicted: 417.87496958335237, Target: [450.]
Predicted: 262.5972917481129, Target: [310.]
Predicted: 425.31995321063914, Target: [450.]
Predicted: 73.23832423884113, Target: [170.]
Predicted: 98.00260071322265, Target: [172.]
Predicted: 443.0103342280153, Target: [390.]
Predicted: 478.4418994121239, Target: [460.]
Predicted: 247.93101554871126, Target: [320.]
Predicted: 439.51720272458573, Target: [315.]
Predicted: 558.1466951053666, Target: [450.]
Predicted: 377.8004341629819, Target: [315.]
Predicted: 225.81454799480872, Target: [280.]
Predicted: 291.7433423704374, Target: [318.]
Predicted: 1441.685963437754, Target: [1580.]
Predicted: 597.4795261752347, Target: [740.]
Predicted: 606.2072120015257, Target: [785.]
Predicted: 946.7377415878184, Target: [950.]
Predicted: 381.64322930332213, Target: [330.]
Predicted: 300.235281957912, Target: [252.]
Predicted: 395.93097573718495, Target: [412.]
Predicted: 454.98570620996384, Target: [335.]
Predicted: 697.987000855016, Target: [750.]
Predicted: 325.5280037692577, Target: [408.]
Predicted: 581.7485062517943, Target: [680.]
Predicted: 415.81069576426097, Target: [450.]
Predicted: 2109.3220463753623, Target: [2500.]
Predicted: 644.0291117165679, Target: [620.]
Predicted: 737.0972770071886, Target: [749.]
Predicted: 266.2166676860404, Target: [170.]
Predicted: 476.2861226088815, Target: [595.]
Predicted: 289.14319080510296, Target: [228.]
Predicted: 386.3714781265241, Target: [395.]
Predicted: 271.4844782278467, Target: [220.]
Predicted: 575.2681000319287, Target: [780.]
Predicted: 1053.00626405604, Target: [740.]
Predicted: 202.16841812463684, Target: [265.]
Predicted: 272.77943539400263, Target: [325.]
Predicted: 2293.2870920090086, Target: [1800.]
Predicted: 205.10974270336266, Target: [279.]
Predicted: 253.38109201673143, Target: [205.]
Predicted: 453.3314121110902, Target: [355.]
Predicted: 430.4396978191931, Target: [588.]
Predicted: 418.81798305105605, Target: [430.]
Predicted: 456.4184355211071, Target: [484.]
Predicted: 788.7436960318278, Target: [498.]
Predicted: 421.17770079808304, Target: [355.]
Predicted: 467.1630189691041, Target: [470.]
Predicted: 293.40076056454035, Target: [430.]
Predicted: 1301.2032972291033, Target: [850.]
Predicted: 389.8784603762259, Target: [358.]
Predicted: 493.7768979992628, Target: [630.]
Predicted: 623.5135714414699, Target: [700.]
Predicted: 632.5884009912344, Target: [510.]
Predicted: 820.5476730495088, Target: [1200.]
Predicted: 258.369481151602, Target: [215.]
Predicted: 932.7298484902813, Target: [1268.]
Predicted: 1483.0995256341187, Target: [1390.]
Predicted: 215.3901340458692, Target: [260.]
Predicted: 490.1526314212212, Target: [500.]
Predicted: 727.7187323637345, Target: [650.]
Predicted: 311.7563291912663, Target: [382.]
Predicted: 188.54621857500715, Target: [178.]
Predicted: 431.7315099345119, Target: [380.]
Predicted: 208.30820685865774, Target: [190.]
Predicted: 356.8588203766346, Target: [466.]
Predicted: 372.94480964404255, Target: [540.]
Predicted: 267.3372852976969, Target: [340.]
Predicted: 480.68712154531573, Target: [450.]
Predicted: 742.257985296805, Target: [740.]
Predicted: 581.1995939468623, Target: [510.]
Predicted: 377.4407295373272, Target: [285.]
Predicted: 331.26263424982534, Target: [390.]
Predicted: 198.4878283995739, Target: [180.]
Predicted: 360.57248443188803, Target: [345.]
Predicted: 274.23410422394693, Target: [295.]
Predicted: 590.0765795772511, Target: [535.]
Predicted: 327.8607430028184, Target: [300.]
Predicted: 295.3161777757476, Target: [222.]
Predicted: 741.9619403721578, Target: [930.]
Predicted: 392.2044421069862, Target: [290.]
Predicted: 384.3866556621007, Target: [390.]
Predicted: 723.4859463874972, Target: [660.]
Predicted: 526.0815093844149, Target: [388.]
Predicted: 435.68299515644884, Target: [500.]
Predicted: 654.0600208990493, Target: [660.]
Predicted: 422.18258571536717, Target: [330.]
Predicted: 687.2381141642928, Target: [720.]
Predicted: 95.1646034090437, Target: [133.]
Predicted: 1165.8634148405527, Target: [1100.]
Predicted: 718.8147215234827, Target: [570.]
Predicted: 334.6219968837575, Target: [230.]
Predicted: 602.57387372568, Target: [465.]
Predicted: 321.38378727810476, Target: [660.]
Predicted: 331.64492548097047, Target: [266.]
Predicted: 598.5645454878567, Target: [750.]
Predicted: 358.8394997229928, Target: [280.]
Predicted: 262.64596402278306, Target: [265.]
Predicted: 717.190437946513, Target: [680.]
Predicted: 328.10851542217205, Target: [460.]
Predicted: 1052.809751011466, Target: [1220.]
Predicted: 528.4146075757279, Target: [480.]
Predicted: 247.1650154111552, Target: [280.]
Predicted: 239.18152749193254, Target: [210.]
Predicted: 311.35248398258295, Target: [267.]
Predicted: 254.75451721913933, Target: [220.]
Predicted: 194.64740177383058, Target: [250.]
Predicted: 471.9610818149686, Target: [360.]
Predicted: 319.1253567415967, Target: [445.]
Predicted: 322.5579972419088, Target: [284.]
Predicted: 178.51592035695546, Target: [199.]
R-squared: 0.86

